Read_ID	Hap1_Count	Hap2_Count	Other_Count
SRR17981951.6830078	0	7	0
SRR17981951.6830067	0	7	0
SRR17981951.6830069	0	5	0
SRR17981951.6830071	1	6	0
SRR17981951.6830073	0	7	0
SRR17981951.6830077	0	6	0
SRR17981951.6830075	0	6	0
SRR17981951.6830074	0	7	0
SRR17981951.6830076	0	5	2
SRR17981951.6830080	0	6	0
SRR17981951.6830079	0	6	1
SRR17981951.6830065	1	4	2
SRR17981951.6582554	0	3	0
SRR17981951.5485781	3	1	0
SRR17981951.6296325	0	7	0
SRR17981951.7314614	2	1	0
SRR17981951.6582553	0	2	0
SRR17981951.6601535	8	0	0
SRR17981951.6601537	7	1	0
SRR17981951.6601543	8	0	0
SRR17981951.6601549	8	0	0
SRR17981951.6601551	7	1	0
SRR17981951.6601534	6	0	0
SRR17981951.6601538	8	0	0
SRR17981951.6601540	7	1	0
SRR17981951.6601542	7	1	0
SRR17981951.6601544	6	1	0
SRR17981951.6601546	7	1	0
SRR17981951.6601550	8	0	0
SRR17981951.6601539	6	2	0
SRR17981951.6601536	8	0	0
SRR17981951.6601548	6	0	1
SRR17981951.6601541	6	2	0
SRR17981951.6601545	8	0	0
SRR17981951.6601547	8	0	0
SRR17981951.5813431	4	0	0
SRR17981951.6830064	0	3	0
SRR17981951.6601552	5	0	0
SRR17981951.4765629	7	2	0
SRR17981951.4765631	9	0	0
SRR17981951.4765630	8	0	1
SRR17981951.5321900	8	0	1
SRR17981951.5321902	8	1	0
SRR17981951.5321906	9	0	0
SRR17981951.5321912	8	0	1
SRR17981951.5321914	8	0	1
SRR17981951.5321899	9	0	0
SRR17981951.5321901	7	2	0
SRR17981951.5321903	8	1	0
SRR17981951.5321905	8	1	0
SRR17981951.5321907	9	0	0
SRR17981951.5321909	9	0	0
SRR17981951.5321911	9	0	0
SRR17981951.5321913	7	2	0
SRR17981951.5321915	8	1	0
SRR17981951.5321916	4	1	0
SRR17981951.5321904	8	0	0
SRR17981951.5321908	9	0	0
SRR17981951.5321910	9	0	0
SRR17981951.5271980	2	0	0
SRR17981951.5271981	2	1	0
SRR17981951.4769093	7	0	0
SRR17981951.7317456	1	7	0
SRR17981951.7317458	0	8	0
SRR17981951.7317460	0	8	0
SRR17981951.7317462	1	7	0
SRR17981951.7317464	1	7	0
SRR17981951.7317468	0	7	1
SRR17981951.7317470	0	8	0
SRR17981951.7317457	2	6	0
SRR17981951.7317459	0	7	0
SRR17981951.7317461	2	6	0
SRR17981951.7317465	1	5	2
SRR17981951.7317467	0	8	0
SRR17981951.7317473	0	6	0
SRR17981951.7317471	0	7	1
SRR17981951.7317469	0	6	1
SRR17981951.7317474	0	8	0
SRR17981951.7317463	0	8	0
SRR17981951.7317472	0	6	0
SRR17981951.7317455	0	7	0
SRR17981951.7317466	0	8	0
SRR17981951.4765632	8	0	0
SRR17981951.7317475	0	7	1
SRR17981951.7227196	5	1	0
SRR17981951.6342766	0	1	0
SRR17981951.5321898	6	0	0
SRR17981951.5112599	0	4	0
SRR17981951.5112601	0	4	0
SRR17981951.5112603	0	4	0
SRR17981951.5112605	0	4	0
SRR17981951.5112609	0	4	0
SRR17981951.5112598	1	3	0
SRR17981951.5112600	0	4	0
SRR17981951.5112604	0	3	0
SRR17981951.5112606	1	3	0
SRR17981951.5112597	1	3	0
SRR17981951.5112596	2	2	0
SRR17981951.5112608	1	2	1
SRR17981951.5112607	0	4	0
SRR17981951.5112602	0	4	0
SRR17981951.7227197	3	0	0
SRR17981951.6403529	1	0	0
SRR17981951.6403530	1	0	0
SRR17981951.6403532	0	0	1
SRR17981951.6403531	1	0	0
SRR17981951.7501720	31	2	0
SRR17981951.7653411	0	14	1
SRR17981951.8390596	2	24	2
SRR17981951.8390598	1	25	2
SRR17981951.8390602	1	26	1
SRR17981951.8390604	0	25	2
SRR17981951.8390595	2	25	1
SRR17981951.8390597	0	25	2
SRR17981951.8390599	0	27	0
SRR17981951.8390601	1	25	1
SRR17981951.8390605	1	25	2
SRR17981951.8390600	1	25	1
SRR17981951.7631399	0	3	0
SRR17981951.7631400	0	3	0
SRR17981951.8390603	0	26	1
SRR17981951.8390594	4	22	1
SRR17981951.7501721	18	0	2
SRR17981951.8265690	3	44	1
SRR17981951.8199048	3	43	2
SRR17981951.8199052	2	42	4
SRR17981951.8199056	2	41	4
SRR17981951.8199047	0	12	0
SRR17981951.8199049	3	40	3
SRR17981951.8199055	2	45	1
SRR17981951.8199051	1	42	1
SRR17981951.8199053	1	44	3
SRR17981951.8199050	4	42	3
SRR17981951.8199054	4	41	2
SRR17981951.8731344	3	40	4
SRR17981951.8731343	3	43	2
SRR17981951.8731345	5	62	4
SRR17981951.8731347	9	36	2
SRR17981951.8731348	4	43	1
SRR17981951.8731346	6	37	3
SRR17981951.8731341	7	37	4
SRR17981951.8731342	8	36	3
SRR17981951.8213415	14	61	12
SRR17981951.8213416	4	36	4
SRR17981951.8213422	1	37	3
SRR17981951.8213417	5	38	0
SRR17981951.8213421	3	35	5
SRR17981951.8213423	1	41	0
SRR17981951.8213419	10	52	2
SRR17981951.8213424	2	33	3
SRR17981951.8213414	7	31	4
SRR17981951.8706996	0	3	0
SRR17981951.8213420	3	25	3
SRR17981951.8213413	8	52	9
SRR17981951.7525071	5	29	2
SRR17981951.9250534	0	43	2
SRR17981951.9250533	0	33	1
SRR17981951.7525070	5	28	3
SRR17981951.8199057	2	27	1
SRR17981951.7652716	46	4	1
SRR17981951.8265691	0	22	1
SRR17981951.8731340	3	16	1
SRR17981951.8193972	32	2	1
SRR17981951.8193978	29	2	3
SRR17981951.8193980	33	1	1
SRR17981951.8193975	34	0	1
SRR17981951.8193977	34	0	1
SRR17981951.8193979	30	3	1
SRR17981951.8193974	33	1	1
SRR17981951.8193976	33	0	2
